Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Disabled_Access,Lift
1165000.0,2000,APARTMENT,APARTMENT,AS_NEW,2.0,172.0,False,,,1.0,60.0,,,,,,,,1.0
370000.0,9051,APARTMENT,APARTMENT,GOOD,2.0,100.0,True,0.0,,1.0,10.0,,,,,,,,1.0
849000.0,9230,HOUSE,EXCEPTIONAL_PROPERTY,TO_BE_DONE_UP,4.0,327.0,False,,,1.0,,,,,1576.0,4.0,,,
779000.0,2970,HOUSE,HOUSE,GOOD,6.0,253.0,False,,,1.0,71.0,1.0,615.0,615.0,1148.0,4.0,,,
349000.0,2600,APARTMENT,APARTMENT,GOOD,3.0,120.0,False,,,1.0,40.0,,,,,,,,1.0
369000.0,9160,HOUSE,HOUSE,GOOD,4.0,,False,,,,,,,,350.0,,,,
249000.0,9300,APARTMENT,DUPLEX,GOOD,2.0,,False,,,1.0,,,,,,2.0,,,1.0
335000.0,4100,HOUSE,HOUSE,GOOD,3.0,176.0,True,0.0,,1.0,20.0,1.0,253.0,253.0,460.0,3.0,0.0,0.0,0.0
435000.0,8400,APARTMENT,APARTMENT,GOOD,2.0,75.0,False,0.0,,,,,,,,2.0,0.0,0.0,1.0
500000.0,8300,APARTMENT,APARTMENT,TO_RENOVATE,0.0,75.0,False,,,1.0,,,,,,,,,
560000.0,1000,APARTMENT,DUPLEX,GOOD,2.0,120.0,True,0.0,,1.0,5.0,,,,,2.0,0.0,0.0,1.0
515000.0,8300,APARTMENT,APARTMENT,GOOD,2.0,67.0,False,,,1.0,,,,,,,,,1.0
240000.0,7860,HOUSE,HOUSE,TO_BE_DONE_UP,4.0,218.0,False,,,,,1.0,280.0,280.0,875.0,4.0,0.0,0.0,0.0
695000.0,1310,HOUSE,VILLA,,4.0,201.0,False,0.0,,,,,,,3800.0,4.0,0.0,0.0,0.0
289000.0,2060,APARTMENT,APARTMENT,AS_NEW,2.0,91.0,False,0.0,,1.0,9.0,,,,,2.0,,0.0,1.0
695000.0,4020,HOUSE,HOUSE,GOOD,4.0,400.0,False,,1.0,1.0,9.0,1.0,2430.0,2430.0,2935.0,4.0,0.0,,
285000.0,8210,APARTMENT,APARTMENT,GOOD,2.0,114.0,False,,,1.0,,,,,,,,,1.0
269000.0,1731,APARTMENT,APARTMENT,AS_NEW,2.0,92.0,False,0.0,,1.0,,,,,,2.0,,,1.0
360000.0,9880,APARTMENT,APARTMENT,TO_BE_DONE_UP,2.0,145.0,False,0.0,,1.0,,,,,,,,,1.0
385000.0,3800,HOUSE,VILLA,,3.0,245.0,False,0.0,,,,,,,3080.0,,,,
219500.0,2100,APARTMENT,GROUND_FLOOR,AS_NEW,2.0,83.0,False,,,,,1.0,50.0,50.0,,2.0,,,
750000.0,9031,HOUSE,HOUSE,GOOD,3.0,69.0,False,,,1.0,,,,,4500.0,,,,
775000.0,8300,APARTMENT,APARTMENT,AS_NEW,3.0,86.0,True,0.0,,,,,,,,2.0,,,1.0
190000.0,5590,HOUSE,MIXED_USE_BUILDING,TO_RENOVATE,3.0,200.0,False,0.0,,,,,,,0.0,2.0,0.0,0.0,0.0
,8800,HOUSE_GROUP,HOUSE_GROUP,,,,False,,,,,,,,,,,,
730000.0,8200,HOUSE,HOUSE,GOOD,4.0,344.0,False,,,1.0,,,,,874.0,4.0,,0.0,0.0
139000.0,8500,HOUSE,HOUSE,TO_BE_DONE_UP,4.0,213.0,False,0.0,,1.0,20.0,1.0,100.0,100.0,192.0,2.0,,,
269000.0,9660,HOUSE,HOUSE,GOOD,3.0,139.0,False,,,1.0,1.0,1.0,1.0,1.0,357.0,3.0,0.0,0.0,0.0
325000.0,7330,HOUSE,HOUSE,AS_NEW,3.0,178.0,True,0.0,,1.0,10.0,,,,400.0,2.0,0.0,0.0,0.0
1250000.0,4400,HOUSE,EXCEPTIONAL_PROPERTY,AS_NEW,7.0,550.0,False,0.0,,1.0,,,,,7000.0,4.0,1.0,1.0,0.0
430000.0,1200,APARTMENT,APARTMENT,AS_NEW,2.0,107.0,True,0.0,,1.0,6.0,,,,,2.0,0.0,1.0,1.0
899000.0,8300,APARTMENT,APARTMENT,AS_NEW,2.0,62.0,True,,,1.0,,,,,,,,,1.0
265000.0,4100,HOUSE,HOUSE,TO_BE_DONE_UP,4.0,180.0,False,,,1.0,25.0,1.0,790.0,790.0,860.0,4.0,0.0,0.0,0.0
2995000.0,2400,HOUSE,VILLA,GOOD,4.0,515.0,False,,,,,,,,1500.0,4.0,1.0,0.0,0.0
259000.0,1180,APARTMENT,GROUND_FLOOR,GOOD,1.0,58.0,True,0.0,,,,,,,,2.0,0.0,0.0,1.0
598000.0,9600,HOUSE,HOUSE,,3.0,346.0,True,,,1.0,78.0,,,,570.0,2.0,,,
199000.0,7500,APARTMENT,GROUND_FLOOR,GOOD,1.0,118.0,False,0.0,,1.0,5.0,1.0,80.0,80.0,,2.0,0.0,0.0,1.0
,9500,APARTMENT_GROUP,APARTMENT_GROUP,,,,False,,,,,,,,,,,,
1050000.0,1050,HOUSE,HOUSE,TO_BE_DONE_UP,6.0,327.0,False,0.0,,,,,,,125.0,2.0,0.0,0.0,0.0
1099000.0,1070,HOUSE,APARTMENT_BLOCK,TO_BE_DONE_UP,5.0,400.0,False,0.0,,,,,,,0.0,2.0,0.0,0.0,0.0
198000.0,2100,APARTMENT,APARTMENT,TO_BE_DONE_UP,3.0,125.0,False,,,,,,,,,2.0,,,1.0
284500.0,9700,HOUSE,HOUSE,,4.0,197.0,False,0.0,,1.0,,,,,553.0,2.0,,0.0,
